PLUIDM|PLUIGR|TAG|RENCENG|MINOR|KDIDM
20054713||N|0|1|G089
20053615|1402660|N|1|2|G089
20057468||N|0|1|G089
20042960|1288280|R|1|1|G089
10026436|0748680|N|1|1|G089
20001521|1150810|N|1|1|G089
20010524|1244750|N|1|1|G089
20035831||R|0|1|G089
20035202||R|0|0|G089
20034948||R|0|1|G089
20054608|1298760|N|1|2|G089
20037982|1382770|R|1|1|G089
10006872|0447560|N|1|1|G089
20054147|1297720|R|1|1|G089
20044540||R|0|2|G089
20054654||R|0|1|G089
20045232|1864200|N|1|1|G089
20053893||N|0|1|G089
20062300||N|0|1|G089
20126004|1420990||1|2|G089
20108217|1423970|N|1|1|G089
20064995|1381010|N|1|2|G089
20066182||N|0|1|G089
20056356|1381020|N|1|1|G089
20056188|1382540|R|1|1|G089
20054849|1535580|N|1|1|G089
20019639||N|0|1|G089
20056075||N|0|1|G089
20056960|1553390|N|1|1|G089
20019566|1429400||1|1|G089
20077807|1420550|N|1|1|G089
20086361|1687230|R|1|1|G089
20086625|1687390|R|1|1|G089
20125610|1466410||1|40|G089
10021010|0646900||1|24|G089
20092904|1401490|T|1|24|G089
20129918|1840620||1|1|G089
20130596|1701060||1|1|G089
10023780|0644070|S|1|1|G089
20036969|1220350|T|1|2|G089
20036081|1144650|V|1|1|G089
20116881|1470860|V|1|1|G089
20080042|1390520||1|2|G089
20084487|1498660|V|1|1|G089
20053034|1261870|R|1|1|G089
20048401|1166700|R|1|1|G089
20048018||N|0|2|G089
20044036|1681680||1|1|G089
20119724|1484440||1|1|G089
20127578|1736490||1|1|G089
20125044|||0|2|G089
20129917|1840610||1|1|G089
20127769|1742230||1|1|G089
10035871|0878770|L|1|1|G089
20017679|1349530||1|2|G089
20122660|1579790|I|1|1|G089
20116091|1836850||1|1|G089
20056619|1378640|N|1|1|G089
20060208||N|0|3|G089
20053059|1442700||1|12|G089
10000279|0099790||1|1|G089
20098414|1467860||1|1|G089
10002564|0816410||1|2|G089
20045423|1532900|S|1|4|G089
20112836|1506820|N|1|2|G089
20037058|1288580||1|2|G089
20012183|1090530||1|2|G089
20036467|1219640||1|1|G089
20094735|1457110||1|2|G089
10033569|0861200||1|1|G089
20042206|1367140||1|1|G089
20055742|1387360||1|4|G089
20122885|1780450||1|10|G089
20129016|1652240||1|5|G089
20130003|1691450||1|2|G089
20116679|1705260||1|2|G089
20091225|1299460||1|2|G089
10007805|0329180|N|1|2|G089
20008947|1064030||1|2|G089
20045104|1206930|S|1|5|G089
20042672|1303130||1|1|G089
20045046|1206950|F|1|2|G089
20043818|1154920|F|1|1|G089
20048314|1166750|N|1|1|G089
20041035|1157370|R|1|1|G089
20045412|1475490|R|1|1|G089
20042625||R|0|1|G089
20048322||R|0|1|G089
20031900||R|0|1|G089
20059695||N|0|1|G089
20040081||N|0|0|G089
20123637|||0|0|G089
20125060|1703730||1|30|G089
10002988|0059400||1|1|G089
20087059|1688250|T|1|1|G089
20127603|1974310|V|1|1|G089
20126527|1504330||1|2|G089
20040435|1825190||1|1|G089
20123404|1486890|T|1|1|G089
20082402|1411600||1|1|G089
20091859|1392550|V|1|1|G089
20064471|1432360||1|1|G089
20090903|1295220|V|1|12|G089
20104155|1543730||1|2|G089
20061785|1443560||1|2|G089
20000411|1275590||1|1|G089
20112739|1786100||1|2|G089
20075588|1550350||1|2|G089
20025762|1250860|L|1|5|G089
20125389|1588980||1|2|G089
20116670|1705220|D|1|30|G089
10008579|0313010||1|2|G089
20071746|1335780||1|3|G089
20118534|1608350|V|1|1|G089
20131279|1858320||1|1|G089
10036685|1314730|L|1|2|G089
20107988|1424140||1|1|G089
20115352|||0|0|G089
20104892|1709620||1|2|G089
20123160|1569630||1|1|G089
20125375|1589030||1|1|G089
20109221|1583970||1|2|G089
20118828|1587120||1|5|G089
20130007|1691430||1|2|G089
10000726|1669580|L|1|2|G089
10000132|0003030||1|1|G089
10000398|0010820|R|1|1|G089
20049385||N|0|1|G089
20046741|1864460|N|1|1|G089
20046003||N|0|1|G089
20060327||R|0|1|G089
20060331||R|0|1|G089
20049800|1431920|R|1|4|G089
20101062|1504750||1|2|G089
10010077|0357200|L|1|2|G089
20095218|1511580|L|1|2|G089
20117687|1501900||1|2|G089
20087290|1374320||1|4|G089
20130186|1684340||1|1|G089
20123723|||0|0|G089
20123665|||0|0|G089
10004055|0033450||1|2|G089
20017911|1426170||1|3|G089
20071797|1335900||1|2|G089
20049782|1430960||1|1|G089
20062816|1341200||1|2|G089
20034413|1558540|V|1|1|G089
20125177||I|0|1|G089
20105921|1492290|I|1|1|G089
20106028|1444310|I|1|1|G089
20131280|1858340||1|1|G089
20108974|1592960|V|1|1|G089
20103270|1525680|V|1|1|G089
20038958|1154060|L|1|2|G089
20072835|1529810|T|1|1|G089
20034266|1165650||1|2|G089
20071707|1335790||1|1|G089
20040702|1178730|S|1|2|G089
20124434|1416820||1|1|G089
20045107|1593310||1|1|G089
20037986|1277750||1|2|G089
20118131|1465200|Z|1|1|G089
10039062|0218610|N|1|1|G089
20045738|1241170|R|1|1|G089
20038552||N|0|1|G089
20047829||N|0|1|G089
20048198||N|0|1|G089
20038021||N|0|2|G089
20047532|1864330|N|1|1|G089
20052963||N|0|1|G089
20026860||N|0|1|G089
20033272||N|0|3|G089
20049499|1285290|R|1|2|G089
20031856||N|0|1|G089
20046349||F|0|1|G089
20046657|1461650|N|1|2|G089
20130328|1684590|Z|1|1|G089
20006103|1042440|N|1|1|G089
20040345|1220440|N|1|2|G089
20037842|1520270|N|1|2|G089
20044557|1159810|N|1|1|G089
10027560|1153500|N|1|2|G089
20029275||N|0|1|G089
20043232|1367250|N|1|1|G089
20045931|1289830|N|1|4|G089
20044855||N|0|2|G089
20046953|1164140||1|1|G089
20066311|1271590||1|2|G089
20131786|1860800||1|1|G089
20126370|1550720|T|1|1|G089
20076488|1514830||1|1|G089
20096267|1832220|N|1|1|G089
20114105|1710400||1|2|G089
10003706|1388610||1|2|G089
20128430|1785970||1|1|G089
20103176|1525620||1|1|G089
20046661|1575690||1|1|G089
20115166|1632880||1|1|G089
20038934|1277890||1|1|G089
10026626|0824280||1|2|G089
20089113|1258110|R|1|2|G089
20089260|1258170|N|1|2|G089
20071658|1450910|N|1|2|G089
20094820||N|0|1|G089
20095150|1511670|R|1|1|G089
20095890|1581070|R|1|1|G089
20091195|1266380|N|1|4|G089
20096326|1690240|N|1|1|G089
20095522|1541740|R|1|1|G089
20096524|1495690|R|1|1|G089
20131211|1439160|Z|1|1|G089
20131237|1412590|Z|1|1|G089
20114436|1633770|I|1|1|G089
20098313|1467170|I|1|1|G089
20114293|1507020|T|1|1|G089
20096796|1643540||1|1|G089
20053052|1440390||1|1|G089
20108864|1592800||1|1|G089
20110455|1546520|V|1|2|G089
20110265|1705140||1|1|G089
20108708|1415600||1|1|G089
20091437|1266170||1|2|G089
20088793|1299020|N|1|1|G089
20054293|1309090|R|1|1|G089
20082444|1429850|N|1|1|G089
20091194|1295700|N|1|1|G089
20090454|1419760|R|1|1|G089
20091558|1313430|N|1|2|G089
20092329|1314150|R|1|2|G089
20065700|1555430|N|1|1|G089
20091799|1505720|N|1|2|G089
20085766|1430250|N|1|1|G089
20088711|1515990|N|1|1|G089
20079706|1822600|R|1|1|G089
20095138|1523910|Z|1|1|G089
20091462|1469950|N|1|10|G089
20094662|1689800|R|1|1|G089
20120919|1420770||1|1|G089
20034678|1714960||1|2|G089
20119094|1547030||1|2|G089
10028574|1473500|I|1|10|G089
10007377|1553210||1|2|G089
20090456|1742350||1|6|G089
20115516|||0|0|G089
20115346|||0|0|G089
20097736|1573720|T|1|5|G089
20106631|1863650||1|1|G089
20060456||R|0|1|G089
20045231||N|0|1|G089
20005614|1038740|R|1|1|G089
